"filing_year","area","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2011,26,299,6.230,19,5,275,48,227,1900,47,42,101,54,31,125,150,246,29,22,7,175,100,163,83,12,17,10,12,2,5,105,22,148,105,21,120,0,1,28,39,236,37,209,2,27
2011,27,414,7.860,25,1,388,100,288,1636.500,99,86,108,61,34,95,293,338,50,29,21,220,168,203,135,17,33,15,14,2,19,124,33,231,122,32,184,2,1,47,54,334,52,286,2,48
2011,28,641,4.090,9,5,627,109,518,2151.240,107,137,155,137,91,24,603,550,77,37,40,328,299,310,240,18,59,18,19,0,40,194,66,367,192,65,293,2,1,74,96,531,95,455,1,76
2011,29,548,6.110,11,9,528,119,409,2000,117,82,162,111,56,210,318,459,69,43,26,336,192,314,145,22,47,18,25,4,22,185,25,318,185,25,249,0,0,69,81,447,79,380,2,67
2011,30,333,2.990,23,2,308,101,207,1500,101,49,102,42,14,171,137,276,32,18,14,192,116,182,94,10,22,9,9,1,13,120,32,156,118,30,128,2,2,28,37,271,34,242,3,29
2011,31,193,2.150,5,2,186,57,129,2065,54,15,63,33,21,96,90,169,17,13,4,114,72,104,65,10,7,10,3,0,4,74,20,92,72,20,77,2,0,15,20,166,20,149,0,17
2011,32,358,4.750,6,5,347,21,326,3485.630,17,20,91,114,105,12,335,300,47,44,3,168,179,149,151,19,28,18,26,1,2,66,43,238,65,43,192,1,0,46,68,279,61,239,7,40
2011,33,335,6.170,5,2,328,25,303,2789.900,25,55,87,96,65,15,313,286,42,36,6,161,167,144,142,17,25,14,22,3,3,86,42,200,83,40,163,3,2,37,48,280,46,240,2,40
2011,34,60,1.760,0,0,60,15,45,1400,15,15,18,7,5,8,52,44,16,6,10,34,26,28,16,6,10,5,1,1,9,19,3,38,18,3,23,1,0,15,6,54,6,38,0,16
2011,35,377,4.570,4,5,368,40,328,1372.750,38,111,113,66,40,27,341,336,32,21,11,172,196,160,176,12,20,9,12,3,8,104,52,212,103,51,182,1,1,30,63,305,61,275,2,30
2011,36,138,6.420,0,3,135,27,108,1566.500,27,29,55,14,10,5,130,119,16,7,9,78,57,74,45,4,12,2,5,2,7,43,20,72,42,19,58,1,1,14,19,116,19,100,0,16
2011,37,51,5.780,3,0,48,18,30,736.600,18,18,9,2,1,8,40,43,5,2,3,29,19,28,15,1,4,1,1,0,3,18,3,27,18,3,22,0,0,5,7,41,7,36,0,5
2011,38,553,7.350,20,6,527,77,450,1772.530,74,128,154,117,54,71,456,472,55,37,18,287,240,267,205,20,35,20,17,0,18,158,64,305,157,63,252,1,1,53,83,444,78,394,5,50
2011,39,453,6.900,7,1,445,52,393,1475,42,136,146,61,60,20,425,394,51,39,12,216,229,196,198,20,31,18,21,2,10,128,66,251,127,65,202,1,1,49,56,389,51,343,5,46
2011,40,365,9.980,6,2,357,33,324,1815,32,56,153,81,35,98,259,318,39,30,9,237,120,218,100,19,20,16,14,3,6,139,26,192,137,24,157,2,2,35,59,298,58,260,1,38
2011,41,395,4.420,3,2,390,40,350,1639.330,32,99,124,68,67,22,368,354,36,29,7,202,188,183,171,19,17,19,10,0,7,114,51,225,113,50,191,1,1,34,58,332,55,299,3,33
2011,42,534,6.710,17,5,512,115,397,1875,106,91,183,87,45,112,400,450,62,47,15,335,177,304,146,31,31,27,20,4,11,184,37,291,182,35,233,2,2,58,82,430,79,371,3,59
2011,43,1762,8.210,23,15,1724,355,1369,1822.500,344,242,686,338,114,237,1487,1582,142,116,26,1120,604,1045,537,75,67,66,50,9,17,678,120,926,669,118,795,9,2,131,273,1451,264,1318,9,133
2011,44,614,6.020,12,7,595,145,450,1740,139,64,270,93,29,135,460,538,57,44,13,375,220,355,183,20,37,17,27,3,10,231,45,319,229,42,267,2,3,52,84,511,83,455,1,56
2011,45,97,6.710,2,1,94,18,76,2166,18,7,34,22,13,27,67,80,14,12,2,62,32,54,26,8,6,7,5,1,1,38,7,49,37,6,37,1,1,12,13,81,13,67,0,14
2011,46,470,6.310,12,5,453,113,340,2000,114,61,152,89,37,185,268,405,48,43,5,299,154,273,132,26,22,25,18,1,4,180,36,237,177,36,192,3,0,45,58,395,57,348,1,47
2011,47,20,3.720,1,0,19,6,13,1660,6,4,5,4,0,11,8,15,4,4,0,12,7,10,5,2,2,2,2,0,0,7,0,12,7,0,8,0,0,4,2,17,1,14,1,3
2011,48,80,5.420,7,1,72,20,52,2450,19,4,25,14,10,29,43,63,9,6,3,48,24,44,19,4,5,3,3,1,2,25,6,41,25,6,32,0,0,9,10,62,9,54,1,8
2011,49,537,7.590,16,3,518,82,436,2000,80,41,277,69,51,193,325,481,37,28,9,323,195,304,177,19,18,16,12,3,6,216,52,250,214,52,215,2,0,35,90,428,90,391,0,37
2011,50,111,6.510,7,1,103,15,88,662,14,58,16,11,4,31,72,89,14,6,8,49,54,45,44,4,10,4,2,0,8,33,19,51,33,18,38,0,1,13,12,91,12,77,0,14
2011,51,106,5.580,4,0,102,16,86,406.600,16,55,15,8,8,23,79,88,14,5,9,61,41,58,30,3,11,2,3,1,8,44,6,52,43,6,39,1,0,13,16,86,16,72,0,14
2011,52,72,3.300,2,0,70,10,60,1800,9,8,32,16,5,29,41,59,11,10,1,45,25,39,20,6,5,6,4,0,1,24,5,41,24,5,30,0,0,11,18,52,17,42,1,10
2011,53,266,6.760,16,3,247,64,183,1625,64,38,81,44,20,127,120,219,28,18,10,146,101,133,86,13,15,9,9,4,6,87,15,145,87,14,118,0,1,27,28,219,27,192,1,27
2011,54,252,12.630,1,3,248,58,190,500,58,148,21,17,4,4,244,214,34,5,29,135,113,133,81,2,32,0,5,2,27,111,43,94,109,42,63,2,1,31,11,237,11,203,0,34
2011,55,33,3.220,4,1,28,3,25,2950,3,4,8,8,5,11,17,26,2,2,0,17,11,16,10,1,1,1,1,0,0,8,4,16,8,4,14,0,0,2,2,26,2,24,0,2
2011,56,67,3.030,6,0,61,17,44,2807,17,8,12,14,10,26,35,52,9,8,1,29,32,25,27,4,5,4,4,0,1,17,8,36,17,8,27,0,0,9,4,57,4,48,0,9
2011,57,53,3.690,5,1,47,19,28,1460,18,6,20,2,1,14,33,43,4,3,1,31,16,30,13,1,3,1,2,0,1,18,3,26,18,3,22,0,0,4,6,41,6,37,0,4
2011,58,212,3.160,11,0,201,65,136,1500,64,36,59,34,8,92,109,177,24,21,3,135,66,124,53,11,13,11,10,0,3,81,14,106,81,14,82,0,0,24,29,172,28,149,1,23
2011,59,86,3.700,2,2,82,22,60,2000,22,9,30,15,6,31,51,76,6,5,1,58,24,54,22,4,2,4,1,0,1,32,4,46,32,4,40,0,0,6,11,71,11,65,0,6
2011,60,187,2.780,5,3,179,37,142,1900,36,22,65,39,17,73,106,155,24,20,4,133,46,118,37,15,9,14,6,1,3,78,11,90,74,11,70,4,0,20,32,147,31,124,1,23
2011,61,357,4.450,24,4,329,88,241,1965,88,54,99,70,18,162,167,293,36,26,10,224,105,208,85,16,20,13,13,3,7,131,26,172,130,26,137,1,0,35,44,285,43,250,1,35
2011,62,47,3.580,1,1,45,6,39,2400,6,7,14,12,6,16,29,42,3,3,0,23,22,23,19,0,3,0,3,0,0,11,3,31,11,3,28,0,0,3,6,39,6,36,0,3
2011,63,161,3.720,7,0,154,38,116,2125,38,21,52,30,13,79,75,132,22,17,5,101,53,88,44,13,9,9,8,4,1,54,11,89,53,10,69,1,1,20,21,133,21,111,0,22
2011,64,83,3.590,3,2,78,14,64,1675,14,11,30,18,5,29,49,67,11,10,1,50,28,45,22,5,6,5,5,0,1,29,10,39,29,9,29,0,1,10,15,63,14,53,1,10
2011,65,109,4.930,19,0,90,30,60,1750,29,12,32,10,7,33,57,78,12,9,3,55,35,49,29,6,6,6,3,0,3,31,6,53,30,6,42,1,0,11,7,83,7,71,0,12
2011,66,620,6.220,26,3,591,138,453,1650,136,93,223,93,46,231,360,536,55,43,12,374,217,349,187,25,30,21,22,4,8,207,33,351,203,33,300,4,0,51,75,516,75,461,0,55
2011,67,359,5.750,13,3,343,107,236,2200,104,25,110,75,29,172,171,307,36,21,15,215,128,197,110,18,18,13,8,5,10,118,32,193,115,32,160,3,0,33,52,291,49,258,3,33
2011,68,594,6.880,22,4,568,158,410,1800,151,116,156,99,46,226,342,514,54,44,10,379,189,348,166,31,23,28,16,3,7,230,34,304,227,33,254,3,1,50,79,489,75,439,4,50
2011,69,603,6.380,22,5,576,160,416,1800,159,67,212,102,36,170,406,521,55,38,17,385,191,360,161,25,30,22,16,3,14,245,39,292,240,38,243,5,1,49,86,490,82,439,4,51
2011,70,103,5.800,15,1,87,22,65,2552.990,20,3,29,25,10,23,64,75,12,8,4,54,33,47,28,7,5,6,2,1,3,25,6,56,24,6,45,1,0,11,13,74,12,63,1,11
2011,71,704,6.940,26,2,676,138,538,1860,134,102,271,121,48,198,478,620,56,48,8,440,236,411,209,29,27,28,20,1,7,275,44,357,270,44,306,5,0,51,89,587,89,531,0,56
2011,72,47,3.030,5,3,39,3,36,2215.540,3,6,14,12,4,8,31,30,9,6,3,25,14,18,12,7,2,5,1,2,1,12,1,26,11,1,18,1,0,8,3,36,3,27,0,9
2011,73,159,4.940,10,1,148,30,118,2400,30,11,53,36,18,58,90,130,18,14,4,97,51,84,46,13,5,11,3,2,2,48,9,91,48,9,73,0,0,18,26,122,25,105,1,17
2011,74,92,10.330,1,0,91,5,86,1547.500,5,14,61,9,2,7,84,85,6,6,0,41,50,37,48,4,2,4,2,0,0,20,14,57,20,14,51,0,0,6,6,85,6,79,0,6
2011,75,124,5.650,7,1,116,35,81,2260,33,7,37,21,18,30,86,105,11,11,0,83,33,76,29,7,4,7,4,0,0,43,8,65,42,7,56,1,1,9,21,95,20,85,1,10
2011,76,106,3.300,4,2,100,10,90,2146.680,10,15,39,21,15,8,92,89,11,10,1,62,38,55,34,7,4,6,4,1,0,34,13,53,33,13,43,1,0,10,26,74,25,64,1,10
2011,77,630,3.180,9,2,619,47,572,2605.970,37,54,216,215,97,38,581,559,60,48,12,394,225,366,193,28,32,27,21,1,11,251,65,303,247,62,250,4,3,53,124,495,120,439,4,56
2012,1,899,4.730,21,13,865,120,745,2060.090,114,107,382,184,78,82,783,780,85,64,21,538,327,498,282,40,45,34,30,6,15,334,90,441,331,89,360,3,1,81,184,681,175,605,9,76
2012,2,498,3.760,38,4,456,53,403,2600,53,29,158,145,71,67,389,403,53,47,6,283,173,254,149,29,24,27,20,2,4,142,45,269,140,45,218,2,0,51,94,362,89,314,5,48
2012,3,614,2.780,6,5,603,140,463,1760,138,98,217,105,45,19,584,530,73,43,30,333,270,301,229,32,41,23,20,9,21,198,81,324,193,80,257,5,1,67,98,505,95,435,3,70
2012,4,151,1.330,6,2,143,17,126,2221.250,16,11,59,41,16,17,126,127,16,16,0,88,55,77,50,11,5,11,5,0,0,54,11,78,52,11,64,2,0,14,29,114,26,101,3,13
2012,5,38,0.520,2,2,34,8,26,2291.500,8,3,11,5,7,5,29,33,1,1,0,20,14,19,14,1,0,1,0,0,0,13,5,16,13,5,15,0,0,1,8,26,8,25,0,1
2012,6,426,1.220,13,4,409,37,372,2163,37,38,179,98,57,23,386,376,33,24,9,220,189,207,169,13,20,10,14,3,6,135,61,213,132,60,184,3,1,29,98,311,96,280,2,31
2012,7,237,1.280,3,4,230,43,187,2500,43,31,62,64,30,18,212,200,30,21,9,100,130,87,113,13,17,13,8,0,9,54,38,138,54,38,108,0,0,30,30,200,30,170,0,30
2012,8,698,2.360,17,8,673,95,578,2651.340,95,91,187,184,116,20,653,577,96,69,27,351,322,315,262,36,60,34,35,2,25,206,109,358,203,104,270,3,5,88,141,532,132,445,9,87
2012,9,24,2.580,0,0,24,2,22,3349.930,2,1,7,8,6,2,22,23,1,1,0,19,5,18,5,1,0,1,0,0,0,9,3,12,9,3,11,0,0,1,8,16,8,15,0,1
2012,10,70,2.010,5,1,64,17,47,2100,17,11,17,13,6,10,54,56,8,7,1,39,25,34,22,5,3,5,2,0,1,20,2,42,20,2,34,0,0,8,10,54,8,48,2,6
2012,11,74,2.200,4,1,69,20,49,1875,20,10,22,11,6,17,52,58,11,11,0,49,20,43,15,6,5,6,5,0,0,22,2,45,22,2,34,0,0,11,16,53,15,43,1,10
2012,12,32,3.430,2,0,30,10,20,3529.860,11,2,6,5,6,4,26,25,5,5,0,20,10,15,10,5,0,5,0,0,0,9,2,19,9,2,14,0,0,5,4,26,2,23,2,3
2012,13,58,1.850,6,1,51,7,44,2200,7,5,19,14,6,14,37,44,7,4,3,33,18,30,14,3,4,2,2,1,2,16,3,32,16,3,25,0,0,7,12,39,12,32,0,7
2012,14,217,2.040,15,1,201,33,168,2000,32,26,76,54,13,44,157,174,27,21,6,130,71,113,61,17,10,16,5,1,5,71,19,111,68,18,88,3,1,23,36,165,32,142,4,23
2012,15,318,3.060,30,5,283,90,193,2065,91,35,86,45,26,55,228,249,34,27,7,174,109,155,94,19,15,18,9,1,6,70,13,200,70,12,167,0,1,33,45,238,42,207,3,31
2012,16,308,2.850,30,3,275,52,223,2100,52,32,103,61,27,54,221,245,30,28,2,177,98,164,81,13,17,13,15,0,2,109,19,147,107,19,119,2,0,28,57,218,55,190,2,28
2012,17,148,4.040,21,2,125,48,77,2550,48,8,27,25,17,33,92,104,21,19,2,78,47,63,41,15,6,15,4,0,2,43,8,74,42,8,54,1,0,20,19,106,19,85,0,21
2012,18,56,3.160,10,0,46,9,37,1940,9,5,17,12,3,10,36,39,7,4,3,30,16,26,13,4,3,2,2,2,1,21,5,20,21,5,13,0,0,7,6,40,5,34,1,6
2012,19,483,4.180,70,7,406,108,298,1967.130,108,34,164,66,34,120,286,364,42,40,2,257,149,233,131,24,18,23,17,1,1,156,23,227,154,23,187,2,0,40,87,319,85,279,2,40
2012,20,167,4.230,18,1,148,52,96,2000,52,11,47,24,14,50,98,138,10,6,4,100,48,92,46,8,2,6,0,2,2,60,10,78,60,10,68,0,0,10,23,125,22,116,1,9
2012,21,250,3.130,25,2,223,59,164,2193.630,59,22,66,54,22,58,165,201,22,17,5,129,94,119,82,10,12,8,9,2,3,72,20,131,71,20,110,1,0,21,37,186,37,164,0,22
2012,22,366,1.890,26,4,336,61,275,2200,59,52,103,81,41,64,272,293,43,36,7,225,111,196,97,29,14,27,9,2,5,131,26,179,128,26,139,3,0,40,55,281,55,238,0,43
2012,23,817,6.770,59,3,755,189,566,1992.500,195,94,282,145,39,292,463,669,86,70,16,488,267,447,222,41,45,35,35,6,10,294,55,406,288,55,326,6,0,80,140,615,136,533,4,82
2012,24,559,2.370,56,11,492,137,355,1883.550,138,91,123,88,52,95,397,441,51,40,11,261,231,238,203,23,28,22,18,1,10,149,50,293,144,49,248,5,1,45,91,401,86,355,5,46
2012,25,1761,8.130,73,12,1676,230,1446,1650,229,326,706,293,122,502,1174,1542,134,111,23,1090,586,1029,513,61,73,57,54,4,19,654,135,887,649,135,758,5,0,129,369,1307,366,1176,3,131
2012,26,335,7.100,21,2,312,70,242,1949.710,68,45,110,59,30,107,205,291,21,15,6,212,100,204,87,8,13,6,9,2,4,137,20,155,134,20,137,3,0,18,55,257,54,237,1,20
2012,27,389,7.310,24,3,362,65,297,1800,64,71,124,67,36,84,278,320,42,22,20,222,140,210,110,12,30,9,13,3,17,134,48,180,134,48,138,0,0,42,70,292,69,251,1,41
2012,28,596,3.650,21,5,570,95,475,2569.820,94,102,128,155,91,20,550,489,81,42,39,297,273,271,218,26,55,19,23,7,32,162,78,330,160,75,254,2,3,76,98,472,97,392,1,80
2012,29,596,6.640,39,6,551,118,433,1800,122,73,211,101,44,189,362,492,59,44,15,381,170,354,138,27,32,25,19,2,13,239,24,288,237,24,231,2,0,57,104,447,99,393,5,54
2012,30,379,3.350,39,1,339,108,231,1600,106,49,129,41,14,151,188,306,33,29,4,212,127,194,112,18,15,18,11,0,4,126,14,199,124,13,169,2,1,30,50,289,48,258,2,31
2012,31,169,1.890,5,2,162,44,118,1580,43,22,64,20,13,71,91,142,20,18,2,98,64,88,54,10,10,10,8,0,2,55,9,98,53,9,80,2,0,18,28,134,28,114,0,20
2012,32,293,3.510,8,6,279,11,268,3520.440,9,14,74,92,90,8,271,253,26,23,3,127,152,118,135,9,17,8,15,1,2,64,48,167,61,48,144,3,0,23,56,223,54,199,2,24
2012,33,293,5.200,7,1,285,34,251,2474.970,31,31,97,79,47,15,270,253,32,26,6,156,129,142,111,14,18,14,12,0,6,71,50,164,70,50,133,1,0,31,69,216,66,187,3,29
2012,34,72,2.110,1,0,71,21,50,1400,22,21,14,12,2,9,62,58,13,7,6,34,37,31,27,3,10,3,4,0,6,22,12,37,21,12,25,1,0,12,14,57,13,45,1,12
2012,35,505,6.120,6,5,494,57,437,1310.100,51,161,163,80,39,9,485,442,52,27,25,256,238,233,209,23,29,16,11,7,18,171,108,215,168,105,169,3,3,46,76,418,72,370,4,48
2012,36,142,6.370,3,3,136,19,117,1870,23,16,54,33,10,3,133,115,21,10,11,73,63,70,45,3,18,2,8,1,10,54,21,61,54,21,40,0,0,21,28,108,28,87,0,21
2012,37,72,8.300,4,0,68,13,55,898,13,28,16,6,5,15,53,59,9,5,4,39,29,34,25,5,4,3,2,2,2,18,10,40,17,10,32,1,0,8,12,56,11,48,1,8
2012,38,565,7.330,33,5,527,71,456,1655,71,133,164,108,51,51,476,464,63,45,18,279,248,255,209,24,39,19,26,5,13,162,68,297,160,68,236,2,0,61,100,427,93,371,7,56
2012,39,454,6.840,13,3,438,47,391,1592.890,44,114,170,62,48,38,400,409,29,23,6,207,231,196,213,11,18,10,13,1,5,122,82,234,120,82,207,2,0,27,83,355,81,328,2,27
2012,40,339,8.920,13,4,322,50,272,2017,51,51,116,73,31,73,249,293,29,24,5,231,91,217,76,14,15,13,11,1,4,138,20,164,136,20,137,2,0,27,70,252,68,225,2,27
2012,41,375,4.180,5,2,368,37,331,1769.260,36,69,151,49,63,7,361,329,39,27,12,226,142,213,116,13,26,11,16,2,10,141,33,194,140,33,156,1,0,38,74,294,72,257,2,37
2012,42,454,5.660,29,3,422,79,343,2151,78,60,136,100,48,72,350,384,38,29,9,282,140,272,112,10,28,9,20,1,8,176,26,220,174,24,186,2,2,34,91,331,90,294,1,37
2012,43,1999,9.400,34,15,1950,354,1596,1702.500,351,248,889,326,136,258,1692,1797,153,128,25,1267,683,1200,597,67,86,58,70,9,16,703,135,1112,698,132,967,5,3,145,429,1521,423,1374,6,147
2012,44,802,8,24,6,772,160,612,1570,153,100,355,124,40,128,644,727,45,40,5,521,251,504,223,17,28,17,23,0,5,317,36,419,316,36,375,1,0,44,180,592,176,551,4,41
2012,45,60,4.130,3,1,56,3,53,2090,3,5,27,19,2,18,38,52,4,4,0,40,16,38,14,2,2,2,2,0,0,24,1,31,24,1,27,0,0,4,10,46,10,42,0,4
2012,46,575,7.860,30,5,540,120,420,1709,118,95,196,95,36,180,360,486,54,40,14,318,222,302,184,16,38,14,26,2,12,180,50,310,180,49,257,0,1,53,97,443,96,390,1,53
2012,47,31,5.700,2,0,29,11,18,1537.500,11,7,3,5,3,19,10,29,0,0,0,18,11,18,11,0,0,0,0,0,0,12,2,15,12,2,15,0,0,0,4,25,4,25,0,0
2012,48,72,4.910,11,0,61,14,47,1800,14,5,27,11,4,26,35,54,7,6,1,41,20,37,17,4,3,4,2,0,1,22,4,35,22,4,28,0,0,7,7,54,7,47,0,7
2012,49,549,7.730,22,4,523,87,436,1700,84,49,274,75,41,188,335,471,52,43,9,323,200,303,168,20,32,19,24,1,8,210,52,261,209,52,210,1,0,51,113,410,112,359,1,51
2012,50,84,4.890,3,1,80,6,74,686.500,7,47,15,5,6,20,60,75,5,2,3,37,43,37,38,0,5,0,2,0,3,23,20,37,23,20,32,0,0,5,16,64,16,59,0,5
2012,51,104,5.360,7,0,97,33,64,975,32,33,16,10,6,35,62,85,12,7,5,64,33,60,25,4,8,4,3,0,5,51,7,39,50,7,28,1,0,11,15,82,15,70,0,12
2012,52,68,3.080,1,0,67,23,44,1844.440,23,9,19,10,6,34,33,61,6,6,0,46,21,43,18,3,3,3,3,0,0,27,4,36,27,4,30,0,0,6,12,55,12,49,0,6
2012,53,283,7.260,28,3,252,59,193,2160.820,58,23,92,56,23,129,123,222,30,21,9,167,85,154,68,13,17,11,10,2,7,93,15,144,92,14,116,1,1,28,56,196,56,166,0,30
2012,54,315,15.390,1,1,313,43,270,373,45,234,20,7,7,0,313,279,34,4,30,194,119,191,88,3,31,1,3,2,28,156,40,117,156,36,87,0,4,30,42,271,41,238,1,33
2012,55,31,2.990,2,0,29,9,20,2575,8,1,9,9,2,12,17,25,4,4,0,15,14,15,10,0,4,0,4,0,0,10,3,16,10,3,12,0,0,4,8,21,8,17,0,4
2012,56,70,3.120,20,2,48,19,29,2400,19,1,16,10,2,11,37,42,6,6,0,35,13,32,10,3,3,3,3,0,0,22,5,21,21,5,16,1,0,5,9,39,9,33,0,6
2012,57,46,3.040,7,0,39,14,25,1500,14,8,8,8,1,9,30,35,4,3,1,22,17,21,14,1,3,1,2,0,1,12,2,25,12,2,21,0,0,4,5,34,5,30,0,4
2012,58,230,3.430,30,3,197,62,135,1540,62,29,68,28,10,92,105,176,21,18,3,139,58,129,47,10,11,8,10,2,1,88,10,99,88,10,78,0,0,21,37,160,37,139,0,21
2012,59,63,2.690,3,0,60,9,51,1750,9,9,26,10,6,27,33,52,8,6,2,36,24,33,19,3,5,1,5,2,0,11,5,44,11,5,36,0,0,8,8,52,8,44,0,8
2012,60,159,2.340,5,1,153,37,116,1800,38,21,51,30,13,69,84,136,17,14,3,99,54,89,47,10,7,9,5,1,2,59,9,85,59,9,68,0,0,17,25,128,25,111,0,17
2012,61,377,4.640,33,4,340,79,261,1907.500,78,54,105,76,27,196,144,317,23,18,5,241,99,231,86,10,13,10,8,0,5,142,14,184,141,14,162,1,0,22,71,269,70,247,1,22
2012,62,56,4.120,9,0,47,16,31,2400,16,7,10,10,4,8,39,35,12,11,1,29,18,21,14,8,4,8,3,0,1,12,3,32,12,3,20,0,0,12,5,42,5,30,0,12
2012,63,182,4.120,24,0,158,40,118,1700,39,25,51,36,7,63,95,140,18,15,3,112,46,101,39,11,7,10,5,1,2,67,9,82,64,9,67,3,0,15,26,132,24,116,2,16
2012,64,94,3.890,7,4,83,20,63,2150,20,4,33,15,11,20,63,74,9,7,2,57,26,51,23,6,3,6,1,0,2,32,7,44,32,7,35,0,0,9,17,66,17,57,0,9
2012,65,134,5.840,29,1,104,34,70,3420,35,6,18,23,22,20,84,83,21,19,2,58,46,51,32,7,14,6,13,1,1,27,11,66,24,10,49,3,1,17,22,82,21,62,1,20
2012,66,672,6.730,53,3,616,131,485,1700,131,81,262,112,30,183,433,553,63,60,3,388,228,360,193,28,35,27,33,1,2,242,30,344,240,30,283,2,0,61,113,503,113,440,0,63
2012,67,438,7.130,40,3,395,121,274,2310,122,41,100,81,51,194,201,354,41,32,9,255,140,240,114,15,26,15,17,0,9,148,19,228,148,18,188,0,1,40,75,320,73,281,2,39
2012,68,598,7.050,20,7,571,139,432,1800,140,106,165,121,39,252,319,517,54,41,13,379,192,353,164,26,28,23,18,3,10,248,29,294,246,29,242,2,0,52,100,471,100,417,0,54
2012,69,749,7.990,29,12,708,162,546,1600,160,122,278,99,49,189,519,662,46,39,7,499,209,486,176,13,33,13,26,0,7,325,29,354,322,28,312,3,1,42,129,579,129,533,0,46
2012,70,105,5.680,13,1,91,34,57,2285.390,35,7,23,17,9,28,63,81,10,7,3,54,37,48,33,6,4,5,2,1,2,31,3,57,30,3,48,1,0,9,20,71,20,61,0,10
2012,71,764,7.440,23,7,734,142,592,1650,139,82,357,116,40,203,531,680,54,38,16,463,271,443,237,20,34,14,24,6,10,254,40,440,254,39,387,0,1,53,156,578,153,527,3,51
2012,72,52,3.350,2,0,50,10,40,2680,10,4,15,14,7,14,36,43,7,7,0,30,20,27,16,3,4,3,4,0,0,16,4,30,16,4,23,0,0,7,7,43,6,37,1,6
2012,73,173,5.350,16,1,156,42,114,2200,42,6,59,32,17,50,106,134,22,17,5,96,60,87,47,9,13,8,9,1,4,51,4,101,51,4,79,0,0,22,21,135,21,113,0,22
2012,74,42,4.610,1,1,40,5,35,917.930,5,20,13,1,1,5,35,32,8,8,0,14,26,12,20,2,6,2,6,0,0,10,5,25,10,5,17,0,0,8,7,33,7,25,0,8
2012,75,129,5.690,9,1,119,30,89,1916.340,30,10,40,31,8,31,88,104,15,14,1,66,53,61,43,5,10,5,9,0,1,41,10,68,40,10,54,1,0,14,13,106,10,94,3,12
2012,76,107,3.250,9,0,98,12,86,1896.310,11,14,42,22,9,7,91,88,10,10,0,44,54,39,49,5,5,5,5,0,0,27,15,56,27,15,46,0,0,10,7,91,6,82,1,9
2012,77,680,3.420,11,4,665,59,606,2043,39,44,337,173,72,31,634,610,55,45,10,348,317,322,288,26,29,25,20,1,9,195,106,364,191,106,313,4,0,51,144,521,140,470,4,51
2013,1,843,4.370,24,12,807,128,679,2008,129,106,336,174,62,98,709,699,108,86,22,529,278,469,230,60,48,51,35,9,13,321,75,411,308,73,318,13,2,93,83,724,78,621,5,103
2013,2,469,3.440,26,4,439,79,360,2458,78,21,164,129,47,63,376,385,54,47,7,257,182,223,162,34,20,31,16,3,4,157,51,231,151,50,184,6,1,47,42,397,40,345,2,52
2013,3,557,2.510,11,5,541,95,446,1600,94,101,233,78,35,15,526,489,52,30,22,298,243,282,207,16,36,12,18,4,18,178,79,284,177,76,236,1,3,48,46,495,45,444,1,51
2013,4,138,1.210,9,1,128,19,109,2670,17,8,40,40,23,27,101,108,20,16,4,76,52,67,41,9,11,8,8,1,3,39,20,69,38,20,50,1,0,19,8,120,8,100,0,20
2013,5,39,0.540,5,0,34,9,25,2799.390,9,2,9,6,8,3,31,27,7,6,1,13,21,9,18,4,3,4,2,0,1,5,6,23,4,6,17,1,0,6,1,33,1,26,0,7
2013,6,445,1.270,15,3,427,63,364,2147.500,59,76,128,95,69,11,416,372,55,40,15,226,201,207,165,19,36,18,22,1,14,138,62,227,136,61,175,2,1,52,53,374,51,321,2,53
2013,7,173,0.930,4,2,167,21,146,2829.640,21,16,50,40,40,6,161,142,25,19,6,72,95,62,80,10,15,9,10,1,5,40,23,104,40,22,80,0,1,24,11,156,11,131,0,25
2013,8,699,2.290,16,7,676,81,595,2378.430,76,121,190,150,139,16,660,587,89,69,20,372,304,330,257,42,47,37,32,5,15,224,119,333,217,119,251,7,0,82,57,619,52,535,5,84
2013,9,17,1.810,3,0,14,0,14,1952.910,0,1,9,4,0,2,12,12,2,2,0,8,6,8,4,0,2,0,2,0,0,5,1,8,5,1,6,0,0,2,2,12,2,10,0,2
