"filing_year","area","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2010,28,682,4.550,12,2,668,101,567,2240.090,101,156,149,152,110,24,644,586,82,45,37,321,347,301,285,20,62,16,29,4,33,187,92,389,186,91,309,1,1,80,92,576,90,496,2,80
2010,29,514,5.750,33,4,477,119,358,1800,117,73,163,87,37,218,259,420,57,34,23,294,183,269,151,25,32,19,15,6,17,187,47,243,185,47,188,2,0,55,55,422,53,367,2,55
2010,30,296,2.700,14,2,280,88,192,1579.710,91,44,91,46,8,136,144,256,24,17,7,162,118,152,104,10,14,8,9,2,5,98,30,152,98,30,128,0,0,24,33,247,33,223,0,24
2010,31,173,1.920,11,0,162,54,108,1570,52,26,54,23,7,74,88,144,18,14,4,83,79,74,70,9,9,8,6,1,3,52,19,91,51,19,74,1,0,17,17,145,17,127,0,18
2010,32,458,6.810,4,8,446,12,434,3323.890,10,19,125,176,116,12,434,400,46,44,2,229,217,205,195,24,22,22,22,2,0,105,70,271,103,70,227,2,0,44,95,351,90,310,5,41
2010,33,374,7.160,1,3,370,24,346,2620.410,22,44,125,117,62,18,352,334,36,24,12,203,167,192,142,11,25,9,15,2,10,96,48,226,95,48,191,1,0,35,78,292,74,260,4,32
2010,34,38,1.120,0,0,38,8,30,1200,8,14,7,8,1,5,33,35,3,1,2,15,23,15,20,0,3,0,1,0,2,10,9,19,10,9,16,0,0,3,1,37,1,34,0,3
2010,35,415,5.040,4,0,411,42,369,1200,38,156,115,65,37,14,397,371,40,25,15,186,225,169,202,17,23,16,9,1,14,127,100,184,125,99,147,2,1,37,62,349,59,312,3,37
2010,36,170,8.220,2,4,164,27,137,1734.640,27,34,62,26,15,4,160,137,27,14,13,99,65,91,46,8,19,6,8,2,11,61,21,82,60,21,56,1,0,26,15,149,13,124,2,25
2010,37,40,4.460,3,1,36,9,27,1200,9,13,12,2,0,17,19,32,4,3,1,20,16,19,13,1,3,0,3,1,0,9,3,24,9,3,20,0,0,4,7,29,6,26,1,3
2010,38,530,7.230,25,1,504,93,411,1900,85,120,150,107,42,64,440,439,65,45,20,291,213,265,174,26,39,20,25,6,14,182,68,254,177,68,194,5,0,60,79,425,76,363,3,62
2010,39,466,7.180,12,2,452,33,419,1545.500,30,133,153,76,60,19,433,401,51,39,12,233,219,212,189,21,30,21,18,0,12,141,89,222,140,89,172,1,0,50,59,393,57,344,2,49
2010,40,332,9.440,10,5,317,61,256,1784.930,62,66,96,67,26,54,263,291,26,15,11,198,119,188,103,10,16,8,7,2,9,118,32,167,116,32,143,2,0,24,42,275,42,249,0,26
2010,41,328,3.690,4,1,323,25,298,1664.670,24,74,119,74,32,21,302,293,30,26,4,157,166,140,153,17,13,17,9,0,4,99,50,174,94,50,149,5,0,25,46,277,43,250,3,27
2010,42,433,5.480,28,2,403,80,323,1629,78,91,138,66,30,116,287,366,37,21,16,245,158,234,132,11,26,6,15,5,11,150,36,217,149,36,181,1,0,36,56,347,55,311,1,36
2010,43,1741,8.040,46,10,1685,295,1390,1994,290,249,655,371,120,243,1442,1537,148,112,36,1121,564,1046,491,75,73,63,49,12,24,758,145,782,741,142,654,17,3,128,279,1406,272,1265,7,141
2010,44,636,6.140,21,5,610,170,440,1800,167,76,240,96,31,122,488,558,52,40,12,416,194,393,165,23,29,22,18,1,11,279,41,290,274,40,244,5,1,46,77,533,75,483,2,50
2010,45,79,5.500,8,2,69,18,51,2475,18,7,19,17,8,22,47,62,7,7,0,44,25,42,20,2,5,2,5,0,0,26,7,36,26,7,29,0,0,7,8,61,8,54,0,7
2010,46,486,6.400,33,3,450,125,325,1905,120,56,157,82,35,193,257,398,52,37,15,318,132,293,105,25,27,18,19,7,8,183,31,236,179,30,189,4,1,47,55,395,53,345,2,50
2010,47,20,3.770,0,1,19,5,14,2159.500,5,2,7,3,2,11,8,17,2,2,0,9,10,8,9,1,1,1,1,0,0,7,4,8,7,4,6,0,0,2,1,18,1,16,0,2
2010,48,62,4.170,5,2,55,16,39,2856,16,4,13,12,10,26,29,45,10,9,1,35,20,30,15,5,5,5,4,0,1,20,7,28,19,7,19,1,0,9,9,46,8,37,1,9
2010,49,526,7.460,25,3,498,81,417,1629.620,78,50,267,71,32,177,321,447,51,33,18,310,188,286,161,24,27,20,13,4,14,230,52,216,223,52,172,7,0,44,75,423,75,372,0,51
